"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TXG","10x Genomics, Inc.","163.07","$17.43B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","6.79","$559.22M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","3.18","$15.7M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","23.99","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.865","$58.04M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"FLWS","1-800-FLOWERS.COM, Inc.","28.21","$1.82B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"GOED","1847 Goedeker Inc.","7.965","$48.68M","2020","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/goed",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.325","$45.48M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","30.52","$3.85B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","12.25","$125.14M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","32.8","$838.05M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","23.74","$3.16B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","0.8881","$123.32M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","35.28","$2.51B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 DigiTech, Inc.","12.13","$1.78B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","3.01","$112.86M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"DDD","3D Systems Corporation","6.95","$841.89M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","169.55","$97.66B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"FVAM","5:01 Acquisition Corp.","10.0999","$104.63M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/fvam",
"WBAI","500.com Limited","2.83","$121.69M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"JOBS","51job, Inc.","73.83","$4.96B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"ETNB","89bio, Inc.","25.23","$514.03M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"EGHT","8x8 Inc","16.48","$1.72B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"EGHT","8x8 Inc","16.48","$1.72B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"NMTR","9 Meters Biopharma, Inc.","0.7518","$107.08M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr",
"JFU","9F Inc.","1.1","$214.71M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AHC","A.H. Belo Corporation","1.415","$33.79M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","54.96","$8.87B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","7.31","$569.66M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AAON","AAON, Inc.","61.34","$3.21B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","19.9","$702.49M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aarons Holdings Company, Inc.","58.81","$3.95B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","26.51","$56.42B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","108.04","$191.29B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","84.31","$148.79B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","1.31","$111.06M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ANF","Abercrombie & Fitch Company","15","$935.6M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.88","$961.06M","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","4.57","$103.93M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","6.705","$340.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.16","$114.95M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","6.92","$60.38M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","4.62","$394.58M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","9.51","$165.78M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.255","$110.69M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","16.74","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.95","$838.18M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABMD","ABIOMED, Inc.","281.47","$12.68B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","33.88","$2.26B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","2.19","$18.4M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","4.77","$342.21M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","67.19","$2.82B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.2","$157.69M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ASO","Academy Sports and Outdoors, Inc.","13.82","$1.22B","2020","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aso",
"ACHC","Acadia Healthcare Company, Inc.","32.95","$2.93B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","41.49","$6.59B","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","9.68","$835.04M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACAM","Acamar Partners Acquisition Corp.","10.17","$388.46M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.3577","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","1.15","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.2028","$19.65M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"ACEL","Accel Entertainment, Inc.","10.7","$1.02B","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"AXDX","Accelerate Diagnostics, Inc.","11.64","$655.98M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","115.21","$6.9B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","226.24","$143.87B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","6.44","$608.34M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ACCD","Accolade, Inc.","41.33","$2.04B","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd",
"ARAY","Accuray Incorporated","3.25","$296.4M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACEV","ACE Convergence Acquisition Corp.","9.72","$279.45M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acev",
"ACEVU","ACE Convergence Acquisition Corp.","10.01","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevu",
"ACEVW","ACE Convergence Acquisition Corp.","0.69","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevw",
"ACLL","ACell, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acll",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.77","$159.87M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","2.96","$35.26M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","8.51","$30.53M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACIW","ACI Worldwide, Inc.","31.5","$3.67B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","4.51","$193.23M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","72.13","$1.3B","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","25.6311","$85.52M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","20.82","$181.05M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"STWOU","ACON S2 Acquisition Corp.","10.01","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwou",
"ACOR","Acorda Therapeutics, Inc.","0.69","$33.1M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","20.65","$53.3M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"ATNM","Actinium Pharmaceuticals, Inc.","11.57","$157.2M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"ATVI","Activision Blizzard, Inc","80.08","$61.81B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"AYI","Acuity Brands, Inc. ","93.54","$3.71B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","34.76","$2.58B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"AFIB","Acutus Medical, Inc.","25.9","$720.7M","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/afib",
"ADMS","Adamas Pharmaceuticals, Inc.","4.27","$120.76M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.8714","$81.61M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","16.49","$1.79B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","9.82","$292.42M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","21.62","$91.72M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"AHCO","AdaptHealth Corp. ","28.62","$2.41B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","5.6","$865.82M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","49.7","$6.75B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADCT","ADC Therapeutics SA","28.65","$2.2B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct",
"ADXN","Addex Therapeutics Ltd","12.455","$55.4M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",
"ADUS","Addus HomeCare Corporation","100.52","$1.59B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.06","$24.29M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","4.91","$578.55M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADIL","Adial Pharmaceuticals, Inc","1.79","$24.68M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.29","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ACET","Adicet Bio, Inc.","13.35","$261.52M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acet",
"ADNT","Adient plc","21.3","$2B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADTX","ADiTx Therapeutics, Inc.","2.18","$20.62M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adtx",
"ADMA","ADMA Biologics Inc","2.24","$193.42M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","495.2","$237.56B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADT","ADT Inc.","7.62","$6.29B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","26.32","$1.37B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","11.41","$547.2M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"AAP","Advance Auto Parts Inc","153.25","$10.6B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","30.24","$2.74B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","70.37","$4.89B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","4.34","$80.55M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","73.18","$2.81B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","82","$96.27B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ASIX","AdvanSix Inc.","14.96","$419.33M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"ADXS","Advaxis, Inc.","0.46","$30.46M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"AVK","Advent Convertible and Income Fund","14.14","$488.19M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ADVM","Adverum Biotechnologies, Inc.","11.56","$1.13B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","24.9865","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","32.3571","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","31.4981","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","23.3808","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","17.68","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"ACT","AdvisorShares Vice ETF","27.1481","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/act",
"IMPX.U","AEA-Bridges Impact Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/impx.u",
"ACM","AECOM","45.97","$7.37B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEGN","Aegion Corp","15.82","$486.8M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","8.15","$363.49M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEFC","Aegon Funding Company LLC","25.74","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","24.94","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","2.82","$5.79B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AEHR","Aehr Test Systems","1.36","$31.7M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","4.5","$94.63M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AER","Aercap Holdings N.V.","28.54","$3.7B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AERI","Aerie Pharmaceuticals, Inc.","9.92","$461.42M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"ACY","AeroCentury Corp.","2.15","$3.32M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","38.55","$3.03B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","75","$1.81B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","1.36","$57.21M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"AIH","Aesthetic Medical International Holdings Group Ltd.","7.45","$175.92M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","0.358","$22.44M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.65","$19.92M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aemd",
"AMG","Affiliated Managers Group, Inc.","77.48","$3.61B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","27.05","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"MGRB","Affiliated Managers Group, Inc.","26.39","n/a","2020","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgrb",
"AFMD","Affimed N.V.","3.46","$292.35M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFL","Aflac Incorporated","36.48","$26.01B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"AFYA","Afya Limited","24.88","$2.31B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"MITT","AG Mortgage Investment Trust, Inc.","2.7","$109.95M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","17.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","17.05","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","16.9","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGBA","AGBA Acquisition Limited","10.36","$61.9M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.23","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.7","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.2399","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGCO","AGCO Corporation","81.35","$6.09B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","2.44","$139.65M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGEN","Agenus Inc.","4.2","$770.46M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGE","AgeX Therapeutics, Inc.","1.78","$67.08M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AGRX","Agile Therapeutics, Inc.","3.02","$264.05M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"A","Agilent Technologies, Inc.","105.49","$32.52B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AGYS","Agilysys, Inc.","26.34","$621.35M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","35.28","$2.44B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","15.14","$437.41M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","14.03","$7.79B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","22.87","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","23.52","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","22.94","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
"AGNCP","AGNC Investment Corp.","22.15","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncp",
"AEM","Agnico Eagle Mines Limited","79.55","$19.22B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"API","Agora, Inc.","43.46","$4.31B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/api",
"ADC","Agree Realty Corporation","64.99","$3.5B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AGFS","AgroFresh Solutions, Inc.","2.39","$126.37M","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs",
"AIKI","AIkido Pharma Inc.","0.56","$19.56M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/aiki",
"ALRN","Aileron Therapeutics, Inc.","1.74","$69.38M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alrn",
"AIRI","Air Industries Group","1.07","$32.76M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AL","Air Lease Corporation","30.44","$3.46B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","24.04","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","294.16","$64.98B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
"AIRT","Air T, Inc.","9.918","$28.58M","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airt",
"AIRTP","Air T, Inc.","21.83","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtp",
"AIRTW","Air T, Inc.","0.034","n/a","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/airtw",
"ATSG","Air Transport Services Group, Inc","27.86","$1.66B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","13.63","$131.58M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/airg",
"ANTE","AirNet Technology Inc.","1.28","$16.09M","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/ante",
"AKAM","Akamai Technologies, Inc.","109.41","$17.8B","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.72","$58.25M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aktx",
"AKBA","Akebia Therapeutics, Inc.","3.7","$530.27M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akba",
"KERN","Akerna Corp.","4.02","$56.52M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kern",
"KERNW","Akerna Corp.","0.41","n/a","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/kernw",
"AKRO","Akero Therapeutics, Inc.","27.4","$950.8M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akro",
"AKER","Akers Biosciences Inc.","2.27","$19.8M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/aker",
"AKUS","Akouos, Inc.","19.58","$672.98M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/akus",
"AKTS","Akoustis Technologies, Inc.","7.84","$299.94M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/akts",
"AKU","Akumin Inc.","3.5","$245.62M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aku",
"ALP^Q","Alabama Power Company","28.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","118.56","$1.41B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
